"1,098,41";41;"El activo con placa N°6105-2866, el cual corresponde a un Monitor, y que consta en el Folio 072 y ";"1,073,27";1
"1,099,01";1;"asiento 27, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a";"1,073,27";1
"1,099,02";2;"la Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,27";1
"1,099,03";3;"El activo con placa N°6105-2867, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,28";1
"1,099,04";4;"asiento 28, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,28";1
"1,099,05";5;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,28";1
"1,099,06";6;"El activo con placa N°6105-2868, el cual corresponde a un Monitor, y que consta en el Folio 072 y ";"1,073,29";1
"1,099,07";7;"asiento 29, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la ";"1,073,29";1
"1,099,08";8;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,29";1
"1,099,09";9;"El activo con placa N°6105-2869, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,30";1
"1,099,10";10;"asiento 30, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,30";1
"1,099,11";11;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,30";1
"1,099,12";12;"El activo con placa N°6105-2870, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,31";1
"1,099,13";13;"asiento 31, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,31";1
"1,099,14";14;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,31";1
"1,099,15";15;"El activo con placa N°6105-2871, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,32";1
"1,099,16";16;"asiento 32, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,32";1
"1,099,17";17;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,32";1
"1,099,18";18;"El activo con placa N°6105-2872, el cual corresponde a un Monitor, y que consta en el Folio 072 y asiento 33, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,33";1
"1,099,19";19;"asiento 33, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,33";1
"1,099,20";20;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,33";1
"1,099,21";21;"El activo con placa N°6105-2873, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,34";1
"1,099,22";22;"asiento 34, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la ";"1,073,34";1
"1,099,23";23;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,34";1
"1,099,24";24;"El activo con placa N°6105-2874, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,35";1
"1,099,25";25;"asiento 35, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,35";1
"1,099,26";26;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,35";1
"1,099,27";27;"El activo con placa N°6105-2875, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,36";1
"1,099,28";28;"asiento 36, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,36";1
"1,099,29";29;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,36";1
"1,099,30";30;"El activo con placa N°6105-2876, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,37";1
"1,099,31";31;"asiento 37, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,37";1
"1,099,32";32;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,37";1
"1,099,33";33;"El activo con placa N°6105-2877, el cual corresponde a un Monitor, y que consta en el Folio 072 y";"1,073,38";1
"1,099,34";34;"asiento 38, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,38";1
"1,099,35";35;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,38";1
"1,099,36";36;"El activo con placa N°6105-2878, el cual corresponde a un Monitor, y que consta en el Folio 072 y ";"1,073,39";1
"1,099,37";37;"asiento 39, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,39";1
"1,099,38";38;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,39";1
"1,099,39";39;"El activo con placa N°6105-2879, el cual corresponde a un Monitor, y que consta en el Folio 072 y ";"1,073,40";1
"1,099,40";40;"asiento 40, del tomo 1 del Libro de Inventario, fue trasladado del Laboratorio Institucional N°2 a la";"1,073,40";1
"1,099,41";41;"Especialidad de Electrónica Industrial, a partir del 18 de febrero del 2022.";"1,073,40";1
"1,100,01";1;"El activo con placa N°6105-2880, el cual corresponde a un Monitor, y que consta en el Folio 072 y ";"1,073,41";1
